Timestamp,TransactionID,AccountID,Amount,Merchant,TransactionType,Location,anomaly
840,143,9,95071.92,7,0,4,-1
841,711,1,15607.89,7,0,0,1
842,1858,13,65092.34,4,2,0,1
843,488,11,87.87,4,0,0,-1
844,377,11,716.56,8,0,1,1
845,94,6,13957.99,2,1,0,1
846,1814,14,4654.58,2,1,4,-1
847,1824,12,1336.36,8,2,3,-1
848,1752,1,9776.23,3,1,0,1
849,533,3,49522.74,2,2,2,1
850,1063,7,66255.6,1,2,3,1
851,885,11,3141.02,1,2,0,1
852,690,1,89483.79,7,2,0,-1
853,21,5,32539.78,1,1,4,1
854,1769,1,96525.88,8,0,4,-1
855,1611,14,98688.82,7,0,0,-1
856,1609,13,1417.84,2,0,1,-1
857,1355,0,60599.94,9,1,3,1
858,1345,3,86311.71,7,2,2,1
859,82,12,31105.12,7,0,1,1
860,1649,13,27479.43,2,0,1,1
861,1571,6,71327.35,0,0,3,1
862,1449,6,25614.27,8,1,3,1
863,643,3,10798.06,6,0,0,1
864,26,9,90757.57,6,1,4,1
865,755,2,20314.09,6,1,1,1
866,125,3,92970.47,8,0,0,-1
867,60,3,18665.14,9,1,0,1
868,553,12,90683.78,0,0,1,1
869,1092,14,81803.3,8,1,1,1
870,1610,5,22218.56,2,2,0,1
871,1627,6,16837.42,7,0,0,1
872,154,5,97178.49,3,2,3,1
873,459,0,14817.21,7,0,1,1
874,146,7,50272.88,5,1,4,1
875,846,0,63438.79,1,0,0,-1
876,1701,11,24213.11,3,1,1,1
877,233,2,24223.57,5,0,0,1
878,706,11,39888.46,0,0,0,1
879,967,11,69584.32,2,1,0,1
880,1338,1,51214.18,2,1,0,1
881,1432,0,39763.23,6,2,2,1
882,894,3,73524.26,1,1,3,1
883,707,12,66001.8,9,0,0,1
884,663,0,24192.81,4,0,1,1
885,19,14,27894.35,2,1,0,1
886,579,11,77989.76,7,1,2,1
887,1103,9,89856.43,3,2,1,1
888,153,5,94013.94,8,0,3,1
889,1024,5,54877.89,5,1,4,1
890,785,9,71220.8,0,2,4,1
891,1796,9,36653.21,7,1,1,1
892,1336,0,54258.6,2,2,4,1
893,1515,11,90610.82,1,0,2,1
894,1205,6,49256.84,4,0,1,1
895,602,8,76857.72,0,2,4,1
896,80,10,88350.57,8,0,4,-1
897,1441,5,96665.82,2,0,0,1
898,1012,4,38515.92,6,0,1,1
899,312,7,55684.56,5,2,1,1
900,996,5,9726.68,5,1,3,1
901,738,2,29536.11,9,0,2,1
902,465,2,70894.01,6,0,3,1
903,1732,1,81013.24,8,0,0,-1
904,591,12,50156.61,3,0,0,1
905,1009,12,2771.4,1,2,1,1
906,766,1,54269.04,5,2,3,1
907,408,0,3744.45,5,1,1,1
908,1383,10,52229.1,4,0,0,1
909,1749,4,19446.06,2,1,0,1
910,1618,4,96953.99,9,2,1,-1
911,1619,13,27090.52,9,1,3,1
912,1713,1,96265.21,6,1,2,1
913,1037,10,5828.78,9,0,3,1
914,136,5,9396.39,8,0,4,-1
915,1885,4,73792.31,4,2,4,1
916,1164,8,24780.62,2,0,2,1
917,345,5,9188.99,0,2,0,-1
918,1393,3,1725.94,9,0,0,-1
919,350,5,43390.83,6,2,3,1
920,870,10,88669.17,3,1,3,1
921,1736,8,50318.59,0,0,4,1
922,1463,13,94389.72,1,0,0,-1
923,1884,2,80096.92,1,1,0,1
924,633,0,81122.31,4,1,2,1
925,492,13,90536.01,1,0,1,1
926,1727,8,33662.06,9,0,3,1
927,1967,1,34069.05,2,0,0,-1
928,1807,10,34840.18,7,0,4,1
929,26,14,54801.71,4,0,1,1
930,794,8,41267.64,1,0,4,1
931,895,0,67987.68,6,0,1,1
932,1859,5,90256.27,3,0,4,1
933,1665,8,38926.28,8,1,0,1
934,1184,12,95680.52,3,1,3,1
935,436,10,9179.5,8,1,4,1
936,566,10,79159.99,8,1,4,1
937,798,1,97425.08,9,0,1,-1
938,267,4,35097.99,1,1,0,1
939,39,1,83698.02,0,0,4,-1
940,215,1,39671.19,9,2,4,-1
941,1211,10,23330.47,7,0,2,1
942,408,9,23676.15,6,0,4,1
943,175,9,37632.2,2,0,0,1
944,231,12,42427.96,9,1,1,1
945,812,4,40526.16,9,0,2,1
946,1066,0,68107.13,8,1,0,1
947,438,14,86861.23,5,0,3,1
948,646,4,96988.18,4,2,4,1
949,1116,3,7388.92,2,1,0,1
950,518,7,16629.88,0,2,2,1
951,442,11,58435.59,6,0,1,1
952,42,1,95041.64,7,2,0,-1
953,482,3,33572.65,9,2,3,1
954,380,7,26601.13,4,0,0,1
955,810,2,69819.19,0,0,2,1
956,832,4,68476.27,2,0,3,1
957,1870,10,61345.39,1,2,3,1
958,307,4,16491.78,7,0,2,1
959,512,6,15050.18,4,2,2,1
0,976,2,84213.47,0,2,2,1
1,139,6,27347.97,6,2,0,1
2,1677,6,74993.58,2,0,4,1
3,655,10,75710.55,2,0,4,1
4,116,14,12924.65,2,0,4,-1
5,885,5,87823.28,7,2,0,1
6,1944,13,2228.25,9,2,1,-1
7,1018,7,85219.63,5,0,1,1
8,944,0,13410.18,6,1,4,-1
9,1837,5,70410.94,2,1,0,1
10,1709,11,60812.7,1,2,1,1
11,1373,6,72642.44,8,2,2,1
12,1982,6,39660.31,6,2,1,1
13,1789,10,79649.21,9,0,3,-1
14,1761,3,6632.94,4,2,4,-1
15,528,4,20920.99,2,1,2,1
16,764,12,58480.76,5,0,1,1
17,987,8,51528.45,1,0,3,1
18,85,8,82180.85,1,2,4,1
19,1483,10,54876.04,4,0,0,1
20,1274,5,36433.34,9,0,1,1
21,109,1,79943.05,8,2,1,-1
22,1813,4,269.48,3,0,2,-1
23,991,4,98625.84,7,2,3,1
24,1200,12,53131.26,1,0,3,1
25,1474,2,25251.17,6,1,1,1
26,862,3,10726.13,9,2,1,1
27,1009,6,10495.87,6,0,0,1
28,1683,12,32214.7,6,2,3,1
29,290,3,23329.31,3,0,0,1
30,466,8,64885.8,1,1,0,1
31,124,11,58688.24,7,0,0,1
32,1550,1,28384.75,5,2,3,1
33,520,13,49829.79,5,0,2,1
34,350,10,10187.23,5,2,0,1
35,417,2,8797.88,7,1,2,1
36,1732,8,52455.89,7,0,0,1
37,1912,6,89662.06,3,1,0,1
38,969,11,97506.97,7,2,1,1
39,1527,14,71848.54,7,2,1,1
40,812,3,20515.71,9,2,0,-1
41,903,9,50765.96,0,1,2,1
42,1889,5,28870.17,4,2,1,1
43,596,9,32071.01,2,0,3,1
44,1,10,6346.86,1,0,3,-1
45,691,0,13891.09,8,0,2,1
46,1106,6,47162.9,6,1,2,1
47,674,5,74599.99,1,2,4,1
48,1307,2,93834.66,2,1,2,1
49,358,11,4818.98,7,1,2,1
50,283,5,79955.72,2,0,4,1
51,1444,8,66523.07,9,2,0,1
52,1558,4,58834.78,1,1,1,1
53,736,11,53982.71,0,0,2,1
54,278,6,38395.28,4,1,1,1
55,1089,11,33288.25,2,2,0,1
56,45,6,62011.07,3,2,1,1
57,1357,4,15175.97,0,0,4,1
58,485,12,14321.37,3,2,3,1
59,608,10,87677.8,0,2,4,1
60,205,6,84646.76,7,1,4,1
61,748,10,48640.88,3,0,3,1
62,485,6,59848.29,3,2,1,1
63,343,10,82681.61,9,2,3,1
64,1226,2,15343.61,7,2,3,1
65,1983,0,1820.84,3,0,4,-1
66,961,6,15262.38,9,0,1,1
67,61,5,93437.36,5,1,2,1
68,1794,10,98484.27,3,2,2,1
69,30,6,31151.31,2,1,4,1
70,507,14,74427.52,9,0,4,-1
71,768,14,11435.59,3,0,3,1
72,1722,11,34641.14,1,1,3,1
73,1275,0,58710.95,2,2,2,1
74,1102,9,41898.36,7,0,2,1
75,1206,6,27765.94,9,2,4,1
76,83,12,97554.38,8,0,0,-1
77,728,11,8544.11,7,0,2,1
78,846,4,39737.84,2,1,1,1
79,382,5,19076.87,7,1,3,1
80,1743,5,71408.78,1,2,0,1
81,154,7,49706.22,2,1,0,1
82,1025,13,86179.94,6,1,3,1
83,537,8,64403.51,0,1,0,1
84,917,7,86700.71,7,0,2,1
85,1732,8,23115.17,7,2,2,1
86,294,10,17862.68,0,1,3,1
87,920,13,72229.47,7,2,1,1
88,1041,9,94441.53,5,0,3,1
89,1666,1,8560.0,6,0,1,1
90,721,4,87645.64,1,2,2,1
91,1795,10,34188.32,9,1,3,1
92,1675,12,3432.47,3,0,4,1
93,1927,5,36282.16,4,1,0,1
94,591,11,77978.08,0,2,1,1
95,836,0,48482.99,0,2,2,1
96,1503,7,63351.49,6,0,1,1
97,1438,9,13236.3,1,1,4,1
98,1722,11,91430.74,4,2,0,1
99,1345,11,6726.87,4,0,3,1
100,1542,12,10666.81,5,0,1,1
101,944,6,87390.27,7,2,0,1
102,860,14,49432.44,9,0,2,1
103,1914,10,38320.02,9,2,3,1
104,25,11,73805.98,2,0,0,1
105,440,1,6834.29,7,1,0,1
106,154,2,29719.2,2,2,3,1
107,1500,6,95409.15,5,0,2,1
108,874,9,53988.88,2,1,0,1
109,574,0,49641.66,1,0,3,1
110,528,10,34444.93,7,0,2,1
111,270,4,68843.36,9,0,1,1
112,346,7,79943.59,2,2,3,1
113,1472,8,31466.51,0,0,2,1
114,1257,14,44606.12,7,1,4,1
115,119,12,72413.09,5,0,3,1
116,128,3,22128.73,9,0,4,-1
117,626,6,4426.1,6,0,3,1
118,1979,11,91549.67,4,1,2,1
119,1870,13,97106.11,6,0,3,-1
120,276,5,5497.71,2,2,1,1
121,573,12,3710.39,7,1,0,1
122,978,4,7704.55,4,1,3,1
123,923,12,6544.98,7,0,0,1
124,416,11,31882.06,1,0,4,1
125,502,3,23303.62,6,1,3,1
126,1496,5,33.75,1,1,1,1
127,72,5,35077.67,0,0,4,-1
128,1720,14,58079.91,8,2,2,1
129,427,9,73760.85,0,1,4,1
130,186,13,28731.03,3,2,4,1
131,766,0,91034.81,8,1,2,1
132,1016,13,12452.51,9,0,4,-1
